,char_count,word_count,paragraph_count,sentence_count,avg_paragraph_length,avg_sentence_length,avg_word_length,long_word_ratio,words_per_paragraph,sentences_per_paragraph,flesch_reading_ease,flesch_kincaid_grade,automated_readability_index,coleman_liau_index,gunning_fog_index,lexical_diversity,avg_syllables_per_word,function_word_ratio,content_word_ratio,formal_word_ratio,unique_word_count,vocabulary_richness,period_count,comma_count,semicolon_count,colon_count,exclamation_count,question_count,dash_count,parentheses_count,quote_count,caps_word_count,caps_ratio,title_case_ratio,punctuation_density,exclamation_ratio,question_ratio,quote_density,attribution_count,attribution_word_count,certainty_count,speculation_count,emotional_count,bias_count,sensational_count,time_reference_count,url_count,number_count,percentage_count,first_person_count,third_person_count,attribution_ratio,certainty_ratio,speculation_ratio,emotional_ratio,bias_ratio,sensational_ratio,first_person_ratio,third_person_ratio,speculation_certainty_ratio,objectivity_score,sentiment_polarity,sentiment_subjectivity,topic_coherence,narrative_element_count,complex_conjunction_count,abstract_word_count,concrete_word_count,abstract_concrete_ratio,semantic_complexity
count,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0,44898.0
mean,2469.1096930820972,405.28228428883244,0.9859459218673438,22.248117956256404,2468.286315648804,18.794328619818415,5.090994386168165,0.27898294614263003,405.28228428883244,22.248117956256404,45.3163640863147,11.951489726214083,13.314032677497911,11.59035028528477,14.542508759904182,0.6122766156777039,1.6490380335590544,0.2337494208038122,0.7662505791961878,9.03459167658894e-05,226.74448750501136,61.22766156777038,20.942313688805736,20.2130161699853,0.22326161521671345,1.55679540291327,0.4076350839681055,0.6786048376319658,4.359971490935008,3.474564568577665,0.13777896565548578,6.203706178448929,0.01922555360247206,0.16836657060485305,0.021319475881109853,0.025089018814940748,0.02928818628911467,0.00038074625384104107,3.4445632322152435,2.034656332130607,0.42200097999910907,1.1969798209274356,0.13980578199474364,0.19526482248652502,0.2694997550002227,1.5324513341351509,0.10405808721992071,4.975767294757005,0.06697403002360906,3.8350928771882935,10.182703015724531,0.009802802466114383,0.0010404428083830848,0.0029822174043233965,0.0003484260902382728,0.0004609469315399607,0.0007236159877375426,0.009043062078607273,0.02396101120547383,1.1036376633597,0.689023970323428,0.0566398035928772,0.3993449068027048,0.05807737957480063,0.25898703728451156,0.19187937101875363,0.22172479843200144,2.5001781816561985,0.08874871626608898,0.000925380225715455
std,2171.6170908337167,351.26559488348715,0.11771520568939019,19.10896862861252,2171.649286821129,6.215718593434255,2.1755067989313046,0.0712403896397715,351.26559488348715,19.10896862861252,25.30256190779231,4.160137688918084,9.946870216707797,8.952470860515087,3.5880759914137528,0.1289544162294299,0.4571949989856839,0.046747003226757525,0.046747003226757525,0.0006216521737131881,151.59181720088623,12.89544162294299,18.274124259333895,20.218083278298405,7.521164983058606,3.77012731674489,1.4556993426801392,1.7948325484652594,5.423746335981281,10.161711658389958,0.9451126072356766,9.197267281357378,0.039260791349288275,0.06183453928967358,0.007663681083680554,0.09274465666461609,0.07234536875132755,0.00481183707277609,3.6520382996971144,1.5165088126059072,0.6929615604467431,1.3177655379302942,0.3911008387338089,0.4783928150907479,0.5539084333354682,1.790713724483432,0.4774310532842403,8.037040387675313,0.8256151653032276,7.059840549926688,10.735408633749213,0.009333520627402551,0.0025530598433255894,0.004318565842964715,0.0014903156985724977,0.0014949855894582302,0.003142011749883518,0.012007023774106824,0.018086117201147927,1.1886522652817382,0.30926459973791276,0.10653511502969709,0.13289389379371466,0.02924629357600496,0.536659691544364,0.45414639981146054,0.5253179651931147,1.8254968258693391,0.24367431293347097,0.0019373249660628777
min,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2078.3799999999997,-3.3999999999999986,-8.8325,-22.199999999999996,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25%,1234.0,203.0,1.0,11.0,1234.0,15.235294117647058,4.855334158880257,0.24509803921568626,203.0,11.0,38.87491686639503,10.277659199615396,11.086828876579727,10.161590580458583,12.752468446761082,0.5496218286933094,1.58161743992856,0.21739130434782608,0.7412280701754386,0.0,133.0,54.962182869330945,10.0,8.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.005333333333333333,0.1335518480855715,0.017872004055336854,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0024449877750611247,0.0,0.0,0.0,0.0,0.0,0.0,0.010526315789473684,0.0,0.5357142857142857,0.0,0.33660668035668034,0.04105010994291631,0.0,0.0,0.0,1.0,0.0,0.0
50%,2186.0,362.0,1.0,19.0,2186.0,18.5,5.072164948453608,0.281544523526384,362.0,19.0,46.33487000217298,11.91727144038608,13.00954492244659,11.48108000219842,14.591285877004854,0.5977653631284916,1.6574585635359116,0.23933649289099526,0.7606635071090048,0.0,215.0,59.77653631284916,18.0,17.0,0.0,1.0,0.0,0.0,3.0,2.0,0.0,4.0,0.011904761904761904,0.1623931623931624,0.0205800972658449,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,7.0,0.007792207792207792,0.0,0.002352941176470588,0.0,0.0,0.0,0.005194805194805195,0.021212121212121213,1.0,0.7692307692307692,0.0537346328930374,0.40619071058944467,0.05677073922715041,0.0,0.0,0.0,2.0,0.0,0.0
75%,3105.0,513.0,1.0,29.0,3105.0,22.073170731707318,5.273763623042403,0.3157894736842105,513.0,29.0,54.06730493802874,13.537268233029353,14.898606293938574,12.642572261663286,16.404411764705884,0.6615384615384615,1.7313790423271236,0.25877192982456143,0.782608695652174,0.0,287.0,66.15384615384615,27.0,26.0,0.0,2.0,0.0,1.0,6.0,4.0,0.0,7.0,0.022431561641417207,0.19557195571955718,0.023689840336754153,0.0,0.030303030303030304,0.0,5.0,3.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,5.0,15.0,0.014742014742014743,0.001694915254237288,0.004464285714285714,0.0,0.0,0.0,0.012987012987012988,0.034482758620689655,2.0,0.9523809523809524,0.10822204336279966,0.47497767204240426,0.0729625354975234,0.0,0.0,0.0,4.0,0.0,0.0015060240963855422
max,51794.0,8135.0,1.0,773.0,51793.0,96.0,149.0,1.0,8135.0,773.0,121.22000000000003,303.40000000000003,680.86,685.4000000000001,55.26531049250536,1.0,41.0,0.5,1.0,0.05555555555555555,2826.0,100.0,555.0,518.0,1310.0,194.0,133.0,94.0,203.0,1526.0,30.0,307.0,1.0,1.0,0.2,1.0,1.0,0.7777777777777778,58.0,13.0,7.0,14.0,4.0,5.0,6.0,104.0,22.0,432.0,122.0,278.0,172.0,0.125,0.16666666666666666,0.3333333333333333,0.07692307692307693,0.09090909090909091,0.3333333333333333,0.25,0.1875,10.0,1.0,1.0,1.0,0.5,6.0,6.0,6.0,12.0,4.0,0.07692307692307693
